Agency,MMR Goal,Critical,Performance Indicator,FY13,FY14,FY15,FY16,FY17,TGT17,TGT18,5 Yr Trend,Desired Direction
DOI,1a, FALSE,Written policy and procedure recommendations accepted by City agencies (%),72%,45%,74%,85%,70%,75%,75%,Up,*
DHS,2b, FALSE,– Families with children,$103.55,$102.61,$106.49,$121.40,$171.21,*,*,Up,*
DOB,1b, TRUE,Average days to complete first plan review (Borough offices) - New buildings,16.1,8.8,14.9,11.1,5.6,12,12,Down,Down
DOHMH,7b, FALSE,Percent meeting time to first action - Rodent (14 days),74%,75%,73%,73%,75%,70%,73%,Neutral,*
SBS,2a, FALSE,Walk-in traffic at Workforce1 Centers,"320,273","367,695","266,663","273,753","271,573",*,*,Down,*
DCLA,3a, FALSE,Letters responded to in 14 days (%),87%,100%,100%,100%,100%,90%,90%,Up,Up
TLC,1d, FALSE,TLC driver licenses issued,"62,286","69,957","91,485","97,401","95,337",*,*,Up,*
NYCHA,1b, TRUE,Average time to resolve non-emergency service requests (days),42.5,27.6,14,14.7,17.5,15,15,Down,Down
DOE,5a, FALSE,– High school ($),"$17,669","$18,658","$19,206","$20,685",NA,*,*,NA,*
NYPD,4a, FALSE,– Acceptable,"8,371","8,508","8,416","8,142","7,992",*,*,Neutral,*
DOB,3a, FALSE,Collisions involving City vehicles,22,33,41,44,98,*,*,Up,Down
DOE,1a, TRUE,– Grade 1,24.6,25.1,24.9,24.9,24.5,24.4,23.5,Neutral,Down
NYCHA,4a, FALSE,CORE facility rating,83,94,93,92,95,*,*,Up,Up
DSNY,5a, FALSE,Private transfer station permits,59,59,59,61,57,*,*,Neutral,*
DOT,2a, FALSE,– Motorists/passengers,93,113,90,84,63,*,*,Down,Down
DOB,1b, FALSE,"Of eligible audited jobs, the percent of audits that resulted in revocation notices (%)",NA,NA,NA,34.30%,42.00%,*,*,NA,Up
DCAS,1d, TRUE,City employees/participants attending training sessions,"17,085","20,252","25,989","40,586","44,080","25,000","30,000",Up,Up
DOP,2b, FALSE,New enrollments in DOP-managed programs,NA,NA,NA,"1,432","1,476",*,*,NA,*
NYPD,6b, FALSE,Percent meeting time to close – Residential Noise - Loud Music/Party (0.3 days),93,95,93,88,87,*,*,Neutral,*
HPD,1a, TRUE,Average time to close emergency complaints (days),10.2,11.9,13.3,11.3,12.4,12,12,Up,Down
DOT,1b, TRUE,Muni-meters that are operable (%),99.20%,99.30%,99.20%,99.20%,99.10%,98.00%,98.00%,Neutral,Up
HRA,4a, FALSE,Cases receiving home care services,"116,883","118,120","122,173","136,367","155,504",*,*,Up,*
DCAS,1b, TRUE,New hires - Asian/Pacific Islander (%),6.20%,6.80%,7.20%,7.50%,8.80%,*,*,Up,*
DoITT,1d, TRUE,Uptime of telecommunications network (Voice over Internet Protocol) (%),99.97%,100.00%,100.00%,100.00%,99.93%,99.99%,99.99%,Neutral,Up
ACS,1e, FALSE,Children eligible for adoption (average),"1,446","1,248","1,092","1,053",904,*,*,Down,*
SBS,1a, TRUE,Number of businesses opened by NYC Business Acceleration,563,757,854,915,867,↑,↑,Up,Up
HPD,2a, FALSE,– Preservation starts,NA,"6,569","11,839","17,313","16,588","12,000","12,900",NA,*
DOE,2a, FALSE,English Language Learners testing out of ELL Programs (%),16.30%,17.40%,18.20%,12.80%,15.60%,14.10%,14.10%,Down,Up
DCA,5b, FALSE,Percent meeting time to first action - Consumer Complaint - False Advertising (4 days),97%,69%,84%,91%,97%,85%,85%,Up,*
DOP,2a, TRUE,Juvenile probationers arrested citywide as a percentage of the NYPD arrest report (monthly average),0.20%,0.30%,0.30%,0.30%,0.30%,*,*,Up,*
SCA,1b, FALSE,– Intermediate ($),$638,$604,NA,$573,$777,*,*,NA,Down
DOE,4a, TRUE,School building ratings  - Good condition (%),0.90%,0.60%,0.70%,1.10%,NA,*,*,NA,Up
DoITT,1b, FALSE,Service incidents,"219,685","188,745","197,166","230,978","260,045",*,*,Up,*
NYCHH,1a, FALSE,Patient Cycle Time - Pediatrics (minutes),NA,NA,NA,70,70,60,60,NA,Down
DCLA,1a, FALSE,"Total financial support provided to qualifying organizations ($000,000)",$139.30,$144.30,$152.60,$152.70,$170.90,*,*,Up,*
DOHMH,1a, FALSE,Male condoms distributed (000),"37,561","38,146","36,604","35,666","35,220","37,828","37,828",Neutral,*
HRA,1b, FALSE,– Cash assistance persons receiving SNAP benefits (000),408.6,385.9,402.1,409.3,401.2,*,*,Neutral,*
DHS,2a, TRUE,Adult families entering the DHS shelter services system,"1,156","1,283","1,385","1,476","1,583",↓,↓,Up,Down
DOHMH,7b, FALSE,Percent meeting time to first action - Food Establishment (14 days),97%,98%,97%,92%,95%,90%,90%,Neutral,*
FDNY,1b, TRUE,Average response time to structural fires (FDNY dispatch and travel time only) (minutes:seconds),4:06,4:08,4:11,4:11,4:13,4:12,4:14,Neutral,Down
DORIS,3a, FALSE,CORE customer experience rating (0-100),93,93,91,97,100,*,*,Neutral,Up
DOHMH,3c, FALSE,Initial inspections with active rat signs (ARS) (%),11.10%,10.80%,10.70%,13.90%,12.20%,*,*,Up,Down
NYPD,1a, FALSE,– Robbery,106,94,55,66,60,*,*,Down,Down
NYPD,6a, FALSE,CORE facility rating,86,90,88,94,92,*,*,Neutral,Up
DOT,1b, FALSE,Inspections of permitted street work,"543,921","641,061","574,467","708,276","707,330",*,*,Up,Up
DYCD,1a, TRUE,COMPASS NYC programs meeting target enrollment - elementary (school year) (%),97%,99%,100%,99%,99%,90%,90%,Neutral,Up
DORIS,3a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
DCA,1a, FALSE,Complaints processed within 0-28 days (%),NA,NA,51%,51%,56%,50%,50%,NA,Up
DPR,6b, FALSE,"Percent meeting time to first action - Dead Tree - Dead/Dying Tree (30 days for trees planted within a 2 year period, 7 days for all other trees)",87%,69%,69%,72%,70%,90%,90%,Down,*
SCA,1b, FALSE,– Elementary ($),$553,$552,$631,$657,$732,*,*,Up,Down
DHS,2b, TRUE,"Critical incidents in the families with children shelter system, per 1,000 residents",NA,NA,NA,NA,0.9,↓,↓,NA,Down
OATH,2a, FALSE,Summonses processed at OATH Hearings Division - Remote Hearings,NA,"17,354","21,948","27,314","29,790",*,*,NA,*
DHS,3b, FALSE,– subsidized exits (%),7.40%,10.20%,9.40%,8.30%,7.50%,*,*,Neutral,Down
DOB,1b, FALSE,Jobs professionally certified (%),55.20%,57.80%,58.80%,61.90%,64.10%,*,*,Up,Up
DEP,2a, FALSE,Street cave-in complaints received,"2,926","3,737","4,073","4,174","3,848",*,*,Up,Down
DSNY,6b, FALSE,Percent meeting time to close – Dirty Conditions - Illegal Postering (7 days),71,66,79,92,91,*,*,Up,*
HPD,5a, FALSE,E-mails responded to in 14 days (%),60%,56%,76%,55%,67%,58%,58%,Neutral,Up
LAW,4a, FALSE,Completed requests for interpretation,705,860,762,"1,002",875,*,*,Up,*
DoITT,1a, FALSE,Average utilization of mainframe system used by the Department of Education and DoITT (%),46.50%,49.20%,57.60%,61.20%,64.10%,*,*,Up,*
DOHMH,7b, FALSE,Percent meeting time to first action - Smoking Complaint (14 days),81%,78%,86%,81%,92%,75%,75%,Up,*
NYCHA,2d, FALSE,Number of buildings,"2,585","2,563","2,553","2,528","2,442",*,*,Neutral,*
ACS,1c, TRUE,Children who re-enter foster care within a year of discharge to family (%)(preliminary),8.60%,9.30%,9.10%,7.80%,6.30%,7.00%,6.00%,Down,Down
NYCHA,2d, TRUE,Apartments (000),179,179,178,178,176,*,*,Neutral,*
DDC,1a, FALSE,Sewers reconstructed (miles),8.8,6.7,6.1,4.6,12,8.4,8,Up,*
ACS,3a, TRUE,Total admissions to detention,"3,419","3,126","2,755","2,528","2,126",↓,↓,Down,Down
DYCD,5a, FALSE,E-mails responded to in 14 days (%),100%,100%,100%,100%,100%,*,*,Neutral,Up
HPD,1b, FALSE,Total dollars spent on emergency repairs in the Alternative Enforcement Program ($),"$4,234,010","$3,980,941","$3,878,569","$1,935,904","$2,499,910",*,*,Down,*
TLC,1b, FALSE,Medallion safety and emissions inspections conducted,"51,786","52,046","51,769","50,894","49,830",*,*,Neutral,*
DOI,1b, TRUE,Financial recoveries to the City collected ($000),"$6,041","$33,248","$6,034","$5,095","$2,588",↑,↑,Down,Up
DHS,2b, FALSE,"Violent critical incidents in the adult shelter system, per 1,000 residents",NA,NA,NA,NA,1.6,*,*,NA,Down
BIC,1b, TRUE,Average time to approve waste hauling applications (days) - New,212,103,235,154,136,↓,↓,Down,Down
DDC,1a, FALSE,Projects completed within budget (%),94%,89%,89%,82%,88%,*,*,Neutral,Up
NYPD,4a, FALSE,– Exceptionally good,6,8,7,0,9,*,*,Down,Up
BIC,3a, FALSE,Completed customer requests for interpretation,109,56,26,93,24,*,*,Down,*
DOE,4a, FALSE,Total new seats created,"10,061","5,380","15,210","6,241","8,676","8,084","4,005",Neutral,*
BPL,NA, TRUE,Average weekly scheduled hours,43.5,42,45,49.3,49.3,49.7,49.3,Up,Up
BIC,2b, FALSE,Average age of pending public wholesale market applications (days),246,256,324,215,227,*,*,Down,Down
DOC,1b, FALSE,Incidents of use of force - total,"2,977","3,779","4,409","4,756","4,673",*,*,Up,Down
FDNY,2b, TRUE,– Witnessed cardiac arrest patients revived (%),45%,45%,45%,46%,47%,↑,↑,Neutral,Up
DOP,2b, TRUE,Successful completion rate for adult probationers (%),58%,59%,66%,68%,69%,↑,↑,Up,Up
DFTA,3b, FALSE,Percent meeting time to first action - Home Delivered Meals for Seniors - Missed Delivery (14 days),99%,100%,100%,100%,100%,*,*,Neutral,*
DOF,4a, TRUE,Average time to close a case (days),NA,NA,NA,53.7,61.6,↓,↓,NA,Down
NYCEM,1b, TRUE,Full-scale and functional exercises/drills,1,3,4,11,18,11,14,Up,Up
FDNY,1b, FALSE,End-to-end average response time to structural fires (minutes:seconds),4:47,4:49,4:51,4:55,4:55,*,*,Neutral,Down
EDC,2a, FALSE,Square footage of assets actively managed by NYCEDC (000),"65,537.10","66,394.30","67,266.80","66,321.40","63,545.90",*,*,Neutral,*
ACS,3a, TRUE,"Weapon recovery rate (average per 100 total ADP), detention",0.02,0.04,0.08,0.07,0.06,↓,↓,Up,Down
DDC,1b, FALSE,Projects audited (%),100%,100%,100%,100%,100%,95%,95%,Neutral,Up
DYCD,2b, FALSE,Youth who attend a DYCD-funded training or employment program while in school and attain a degree or certificate by the end of the 3rd quarter after exiting the program (%),77%,77%,78%,83%,NA,63%,*,NA,Up
DHS,3b, TRUE,– subsidized exits (%),2.70%,2.40%,3.00%,1.40%,1.30%,↓,↓,Down,Down
SBS,1a, FALSE,Value of financing awards facilitated by NYC Business Solutions ($000),"$54,101","$44,811","$64,799","$44,983","$45,701",*,*,Down,Up
DOB,1b, FALSE,First plan reviews completed,"69,380","76,669","84,449","88,542","86,878",*,*,Up,*
TLC,1b, FALSE,– Re-Inspection (%),15.10%,14.40%,13.60%,12.50%,10.10%,*,*,Down,Down
HRA,4a, TRUE,Average number of days from submission of a completed application to issuance of enhanced housing benefits to HASA clients,14.5,14.1,14.2,16.3,16.8,15.5,15.5,Up,Down
DCA,2a, TRUE,Basic license application - Average processing time (days),2,3,2,2,3,4,4,Up,Down
DoITT,2a, FALSE,NYC.gov web page views (000),NA,NA,NA,"271,252.20","271,980.00",*,*,NA,Up
DOF,1b, TRUE,Average time to issue a business tax refund (days),30,29,31,9,26,25,25,Down,Down
FDNY,3a, FALSE,"Average annual cost of an engine company ($000,000)",$6.70,$6.90,$6.80,$7.10,$7.20,*,*,Neutral,*
311,2a, FALSE,Customer satisfaction index,84,83,84,85,84,*,*,Neutral,Up
DOB,4a, FALSE,E-mails responded to in 14 days (%),37%,65%,51%,60%,63%,57%,57%,Up,Up
DOB,4a, FALSE,Calls answered in 30 seconds (%),NA,NA,NA,NA,NA,*,*,NA,Up
DEP,7a, FALSE,Average customer in-person wait time (minutes),7,7,6,5,4,5,5,Down,Down
BOE,NA, FALSE,Voting equipment replacement rate - ballot scanners (%),3.20%,0.40%,0.40%,0.30%,0.90%,*,*,Down,Down
DOB,2a, FALSE,Priority B complaints responded to,"51,990","63,215","54,688","60,716","72,848",*,*,Up,*
CCRB,1a, TRUE,Average time to complete a substantiated investigation (days),438,394,329,178,168,140,140,Down,Down
DCA,5a, FALSE,CORE customer experience rating (0-100),86,94,95,98,99,83,87,Up,Up
DPR,4a, FALSE,Attendance at skating rinks,"530,299","595,887","548,677","564,696","581,842",*,*,Neutral,Up
DSNY,3a, FALSE,Annual tons recycled total (000),642,652,685,740,800,*,*,Up,Up
DOC,1c, FALSE,Inmate health clinic visits,"75,664","77,825","81,873","78,499","79,844",*,*,Neutral,*
HRA,2c, TRUE,Child support cases with orders of support (%),70.10%,71.50%,73.20%,76.70%,79.40%,79.00%,80.00%,Up,Up
ACS,1e, FALSE,Children returned to parents (reunifications),"3,393","2,940","2,506","2,507","2,082",*,*,Down,*
DOI,2a, TRUE,"Time to notify agencies of prospective childcare, home care and family care workers with criminal records after receipt from State Division of Criminal Justice Services and FBI (days)",1,1,1,1,1,2,2,Neutral,Down
ACS,4a, FALSE,Collisions involving City vehicles,16,35,46,34,30,*,*,Up,Down
ACS,3a, TRUE,"Youth on youth assaults and altercations with injury rate (per 100 total ADP), detention",0.34,0.35,0.3,0.39,0.38,0.35,0.35,Up,Down
BIC,2b, TRUE,Average time to approve public wholesale market applications (days),151,152,382,309,270,200,200,Up,Down
NYCEM,1b, TRUE,Participants at instructor-led emergency management training sessions,"1,596","2,555","2,783","3,430","2,626","2,500","2,500",Up,Up
DOP,2a, TRUE,Average monthly violation rate for adult probationers (%),0.90%,0.80%,0.80%,0.90%,1.00%,*,*,Up,*
HRA,1b, TRUE,Persons receiving Supplemental Nutrition Assistance Program (SNAP) benefits (000),"1,873.50","1,755.80","1,706.70","1,693.20","1,676.30",*,*,Neutral,*
FDNY,1a, FALSE,Summonses issued,"1,268","8,207","7,975","6,404","9,336",*,*,Up,*
HPD,1b, FALSE,– Buildings discharged (cumulative),702,885,"1,056","1,278","1,558",*,*,Up,*
DOC,1a, FALSE,Weapons recovered,"2,162","2,348","2,240","3,396","3,976",*,*,Up,*
CUNY,NA, FALSE,Instructional full-time equivalents (FTEs) taught by full-time faculty (%) - Senior Colleges,42.10%,41.40%,42.90%,42.40%,40.80%,*,*,Neutral,Up
DOC,5a, FALSE,E-mails responded to in 14 days (%),99.90%,100.00%,100.00%,100.00%,100.00%,*,*,Neutral,Up
DSNY,1a, FALSE,Sidewalks rated filthy (%),0.40%,0.30%,0.40%,0.30%,0.10%,*,*,Down,*
ACS,3a, TRUE,"Youth on staff assault w/injury rate (per 100 total ADP), detention",0.06,0.05,0.05,0.08,0.11,0.05,0.07,Up,Down
DCA,1b, FALSE,Total violations issued,"23,326","19,888","11,923","14,291","15,971",*,*,Down,*
DSNY,5a, FALSE,Refuse cost per ton (fully loaded) ($),$392,$422,$449,$462,NA,*,*,NA,*
NYCHH,1a, TRUE,Emergency room revisits for pediatric asthma patients (%),3.80%,2.90%,3.10%,3.20%,3.60%,3.20%,3.20%,Neutral,Down
NYCHA,3b, FALSE,Youth placed in jobs through youth employment programs,607,918,918,888,"1,005",*,*,Up,Up
DOT,1c, FALSE,Average time to repair street lights - by ConEd (calendar days),14.1,14.9,15.6,14.4,14.3,*,*,Neutral,Down
DPR,6a, FALSE,CORE customer experience rating (0-100),89,91,93,91,91,85,85,Neutral,Up
CUNY,NA, TRUE,CUNY associate degree recipients who transfer to a CUNY baccalaureate program within one year (%),52.30%,51.50%,54.00%,54.80%,54.90%,56.00%,56.00%,Neutral,Up
EDC,1a, FALSE,Square feet of graffiti removed (000),"4,078","4,325","5,913","5,650","5,720",*,*,Up,*
DOT,3a, FALSE,Private ferry service - Total ridership (000),"9,976","9,656","9,830","10,883","11,202",*,*,Up,Up
OATH,3a, FALSE,CORE customer experience rating (0-100),90,97,94,98,97,*,*,Neutral,Up
DYCD,1a, TRUE,COMPASS NYC programs meeting target enrollment (summer) (%),93%,95%,92%,80%,81%,90%,90%,Down,Up
HPD,5b, FALSE,Percent meeting time to close - Plumbing - Water-Leaks (17 days),75%,69%,60%,66%,64%,68%,68%,Down,*
DYCD,3b, FALSE,Participants in DYCD-funded English literacy programs,"4,643","4,306","4,068","6,003","8,664","5,100","8,560",Up,*
DOC,1c, FALSE,Inmates with a mental health diagnosis (% ADP),37%,38%,41%,42%,42%,*,*,Up,*
DPR,2b, FALSE,– Down trees,8.3,15.7,15.3,16.2,28.5,*,*,Up,Down
OCME,5a, FALSE,Completed customer requests for interpretation,164,188,304,664,"1,091",*,*,Up,*
DPR,6b, FALSE,Percent meeting time to first action - Damaged Tree - Branch or Limb Has Fallen Down (8 days),94%,82%,83%,94%,97%,95%,95%,Neutral,*
DOHMH,2a, TRUE,Adults who smoke (%) (CY),15.50%,16.10%,13.90%,14.30%,13.10%,13.80%,12.80%,Down,Down
DoITT,1c, FALSE,Active projects,NA,NA,34,45,49,*,*,NA,*
DHS,2a, TRUE,Single adults entering the DHS shelter services system,"16,448","17,547","18,091","19,139","19,800",↓,↓,Up,Down
ACS,3a, TRUE,Number in Close to Home placement,NA,195,176,151,156,↓,↓,NA,Down
BOE,NA, FALSE,Interpreters deployed on election day - Manhattan,374,366,394,351,529,*,*,Up,*
DOT,3a, FALSE,– Average cost per passenger ($),$5.38,$5.75,$5.87,$5.87,$5.16,*,*,Neutral,Down
HRA,4a, FALSE,APS assessment cases accepted or denied for undercare within State-mandated 60 days (%),98.80%,98.40%,88.80%,94.30%,95.30%,*,*,Neutral,Up
DYCD,3b, TRUE,"Participants in DYCD-funded English literacy programs meeting federal standards of improvement in their ability to read, write, and speak English (%)",59%,54%,52%,54%,59%,55%,55%,Neutral,Up
DOHMH,1b, TRUE,HPV vaccine series completion (%),26.10%,32.50%,38.50%,44.20%,56.60%,56.00%,60.00%,Up,Up
ACS,4a, FALSE,Workplace injuries reported,191,217,184,226,214,*,*,Up,Down
CCHR,2a, FALSE,"Conferences, workshops and training sessions","1,114","1,288","1,394","2,397","2,947","1,000","1,000",Up,Up
DCAS,1b, TRUE,New hires - White (%),26.00%,23.20%,23.90%,23.00%,22.00%,*,*,Down,*
HRA,1b, FALSE,– Non-cash assistance persons receiving SNAP benefits (000),"1,189.00","1,098.70","1,039.00","1,020.70","1,012.30",*,*,Down,*
DOE,2b, FALSE,– Non-public school,"25,375","28,361","29,683","29,138","29,059",*,*,Up,*
NYPL,NA, TRUE,Program attendance,"1,120,064","1,209,148","1,443,213","1,713,362","2,084,923","1,840,000","1,900,000",Up,Up
LAW,2a, TRUE,Juveniles successfully referred to a diversion program with no new delinquency referral within one year (%),85%,85%,84%,81%,81%,75%,75%,Neutral,Up
EDC,3b, TRUE,– Projected three-year job growth associated with closed contracts,491,307,211,321,419,300,↑,Down,Up
DCAS,5b, TRUE,"Annual estimated avoided energy cost from all energy projects ($000,000)",$2.12,$2.79,$12.46,$6.56,$14.23,$1.14,$15.16,Up,*
NYPD,1c, FALSE,End-to-end average response time to all crimes in progress (minutes:seconds),11:18,10:55,10:58,10:35,10:06,*,*,Neutral,Down
DCAS,1c, TRUE,Exams administered on schedule (%),100%,100%,100%,100%,100%,100%,100%,Neutral,Up
NYPL,NA, FALSE,Program sessions,"59,030","65,842","77,823","91,281","110,500","98,000","103,000",Up,Up
SBS,2a, TRUE,Businesses awarded funding for employer-based training,NA,NA,NA,57,54,*,*,NA,*
FDNY,2b, TRUE,Cardiac arrest patients revived (%),26%,25%,26%,24%,22%,↑,↑,Down,Up
BOE,NA, FALSE,Voter turnout - general election (000),"2,467","1,102","1,042",236,"2,760",*,*,Neutral,*
DPR,1a, TRUE,Spray showers in service (in season only) (%),92%,96%,94%,92%,93%,95%,95%,Neutral,Up
EDC,3a, TRUE,Businesses served by industry-focused programmatic initiatives,"1,070","1,290","1,366","2,722","2,604",↑,↑,Up,Up
CCHR,1a, FALSE,Cases pending by age - less than one year,467,496,505,837,728,414,414,Up,Down
ACS,2a, FALSE,Fiscal year spending per child - Center-based child care vouchers,"$8,478","$8,524","$8,936","$9,280","$9,149",*,*,Neutral,*
TLC,3b, FALSE,Percent meeting time to first action - Lost Property (7 days),94%,87%,86%,72%,72%,90%,90%,Down,*
DOC,1b, FALSE,"Department use of force incidents with no injury (rate per 1,000 ADP)",9.11,13.19,19.14,24.41,25.76,*,*,Up,Down
DFTA,2b, FALSE,Hours of case management services provided,"443,404","458,432","456,838","534,459","537,235","462,112","462,112",Up,Up
DCP,3a, FALSE,Simple zoning actions certified/referred,NA,77,95,59,66,*,*,NA,*
HPD,1b, FALSE,Total dollars spent on emergency repairs (excluding demolition and AEP) ($),"$11,077,244","$11,360,685","$11,234,213","$10,139,937","$10,009,946",*,*,Down,*
DOT,1c, TRUE,Average time to repair priority regulatory signs after notification (business days),2.2,1.8,1.8,1.8,1.7,3,3,Down,Down
DCA,4a, FALSE,Paid Sick Leave (PSL) complaints received,NA,NA,583,335,315,*,*,NA,*
FDNY,1a, FALSE,"Structural fires per 100,000 people",307,314,330,327,316,*,*,Neutral,Down
TLC,1b, TRUE,Medallion safety and emissions failure rate - Initial inspection (%),32.70%,33.00%,30.90%,28.20%,28.10%,35.00%,35.00%,Down,Down
QPL,NA, FALSE,Libraries open seven days per week (%),5%,5%,3%,3%,3%,3%,3%,Down,Up
DoITT,6a, FALSE,Letters responded to in 14 days (%),97%,99%,91%,100%,99%,*,*,Neutral,Up
